iter	Logloss
0	0.6403154392
1	0.5951487507
2	0.5560143661
3	0.5227658395
4	0.4939266881
5	0.4691909833
6	0.4477094925
7	0.429092737
8	0.412830161
9	0.3982511609
10	0.3855719935
11	0.3743821474
12	0.3647334568
13	0.3565876175
14	0.3492148466
15	0.342930802
16	0.3370824369
17	0.3318312334
18	0.3274127442
19	0.3232960514
20	0.3197172955
21	0.3165322073
22	0.3134300443
23	0.3108947305
24	0.3083301683
25	0.3059909914
26	0.303764535
27	0.3017942841
28	0.3001389974
29	0.2984686082
30	0.2969049813
31	0.2955119016
32	0.294170478
33	0.292977015
34	0.2918417982
35	0.2907595251
36	0.2897392606
37	0.2888243102
38	0.287981023
39	0.2871486829
40	0.2863345795
41	0.2855235215
42	0.2848495181
43	0.2842027593
44	0.2836007785
45	0.2829821051
46	0.2824054175
47	0.2818677864
48	0.2814083784
49	0.280929511
50	0.2805218117
51	0.2801033763
52	0.2796428451
53	0.2792215315
54	0.2788378561
55	0.2784593984
56	0.2781399724
57	0.2778507508
58	0.2775660502
59	0.2772937122
60	0.2770394311
61	0.2767646811
62	0.2765121983
63	0.2762896133
64	0.276057923
65	0.2758537118
66	0.2756610511
67	0.2754769882
68	0.2753005198
69	0.2751193494
70	0.2749445253
71	0.2747798967
72	0.274623003
73	0.2744658549
74	0.2743459627
75	0.2742111855
76	0.2740838167
77	0.2739559638
78	0.2738458704
79	0.2737205049
80	0.2736001965
81	0.273489282
82	0.2733920369
83	0.2732926874
84	0.2732001585
85	0.2730800995
86	0.2729940889
87	0.2728945709
88	0.272813609
89	0.272731367
90	0.2726441645
91	0.2725699126
92	0.2724989583
93	0.2724221827
94	0.2723573059
95	0.2722767468
96	0.2722097098
97	0.2721480022
98	0.2720724509
99	0.2720154918
100	0.271963836
101	0.2719031193
102	0.2718383105
103	0.2717756019
104	0.2717206401
105	0.2716581744
106	0.2716118988
107	0.2715605595
108	0.2715172527
109	0.2714681132
110	0.2714270627
111	0.2713861395
112	0.2713480698
113	0.2713050156
114	0.2712619068
115	0.2712218391
116	0.2711817928
117	0.2711465777
118	0.2711094593
119	0.2710642852
120	0.2710215735
121	0.2709885122
122	0.2709504461
123	0.270920529
124	0.2708913959
125	0.2708621054
126	0.2708359218
127	0.270805646
128	0.2707816439
129	0.2707573341
130	0.2707339249
131	0.2707150849
132	0.2706928432
133	0.2706660446
134	0.2706285366
135	0.2705918797
136	0.2705634879
137	0.2705305386
138	0.2705080892
139	0.2704775467
140	0.2704493368
141	0.2704267356
142	0.2704022972
143	0.2703328049
144	0.2703000414
145	0.2702751487
146	0.2702606546
147	0.2702418982
148	0.2702238032
149	0.2702008711
150	0.2701825792
151	0.2701633519
152	0.2701410356
153	0.2701275379
154	0.2701074877
155	0.2700895601
156	0.2700631269
157	0.2700428747
158	0.2700242505
159	0.2699624247
160	0.2699624246
161	0.2699475976
162	0.2699312137
163	0.2699095427
164	0.2698951957
165	0.2698791828
166	0.2698635805
167	0.2698102869
168	0.2697926686
169	0.2697775517
170	0.2697631286
171	0.269748342
172	0.2697310634
173	0.2696908312
174	0.269674584
175	0.2696558839
176	0.2696261074
177	0.2696087639
178	0.2695945977
179	0.2695801358
180	0.2695660248
181	0.2695601934
182	0.269546604
183	0.269536694
184	0.2695250647
185	0.2695107677
186	0.2694949511
187	0.2694869633
188	0.269467678
189	0.2694299348
190	0.2694141769
191	0.2694029573
192	0.2693908437
193	0.2693805941
194	0.26937243
195	0.2693635129
196	0.2693524021
197	0.2693412297
198	0.2693342865
199	0.2693280989
200	0.2693181771
201	0.2693027833
202	0.2692936406
203	0.2692866765
204	0.2692824623
205	0.2692713286
206	0.2692698489
207	0.2692567845
208	0.2692157616
209	0.2692069666
210	0.2691775705
211	0.2691691936
212	0.2691563367
213	0.2691331638
214	0.2691257791
215	0.2691052118
216	0.2690970811
217	0.2690855994
218	0.2690809297
219	0.2690720583
220	0.2690637826
221	0.2690551682
222	0.2690436114
223	0.2690301945
224	0.2690201397
225	0.2690109435
226	0.2690040893
227	0.2689930509
228	0.268965178
229	0.2689517866
230	0.2689421501
231	0.2689131338
232	0.2689045234
233	0.2688933329
234	0.2688820681
235	0.268882068
236	0.2688718582
237	0.2688620963
238	0.2688545322
239	0.2688480737
240	0.2688366881
241	0.2688230133
242	0.2688150976
243	0.2688012443
244	0.2687951538
245	0.2687774712
246	0.2687739488
247	0.2687683389
248	0.2687609646
249	0.2687586925
250	0.2687484646
251	0.2687385547
252	0.2687358843
253	0.2687266593
254	0.2687131001
255	0.2686926868
256	0.2686827047
257	0.2686767329
258	0.268658402
259	0.2686490845
260	0.2686125871
261	0.2686068385
262	0.2685938857
263	0.2685783448
264	0.2685745739
265	0.2685636122
266	0.2685503015
267	0.2685430293
268	0.2685338448
269	0.2685227933
270	0.2685045319
271	0.2684881469
272	0.2684786065
273	0.2684668337
274	0.268454668
275	0.2684492715
276	0.2684428439
277	0.2684212361
278	0.2684150045
279	0.2684056209
280	0.2683954799
281	0.2683699875
282	0.2683511633
283	0.2683430046
284	0.2683324168
285	0.2683220496
286	0.2683131878
287	0.2683055709
288	0.2682997581
289	0.2682708306
290	0.2682615266
291	0.2682522887
292	0.2682366279
293	0.2682186817
294	0.2682104313
295	0.2681954825
296	0.2681747939
297	0.2681588617
298	0.2681479431
299	0.2681313166
300	0.2681195185
301	0.2681107618
302	0.2681032837
303	0.2680895967
304	0.2680764964
305	0.2680636871
306	0.2680556873
307	0.2680460116
308	0.2680350834
309	0.2680209399
310	0.2680077734
311	0.267998657
312	0.2679859016
313	0.2679746629
314	0.2679635781
315	0.2679281354
316	0.26791358
317	0.2679078325
318	0.2678988048
319	0.267885738
320	0.2678592561
321	0.2678285567
322	0.2678060956
323	0.267793324
324	0.2677822729
325	0.2677719785
326	0.2677672636
327	0.2677590906
328	0.2677490883
329	0.2677225483
330	0.2677123913
331	0.2677046908
332	0.2676955579
333	0.2676840016
334	0.2676601654
335	0.2676529178
336	0.2676470035
337	0.2676333861
338	0.2676190544
339	0.2676082809
340	0.2676017967
341	0.2675969576
342	0.2675842559
343	0.2675723209
344	0.2675580788
345	0.2675458029
346	0.2675381304
347	0.267534297
348	0.2675235093
349	0.2675162904
350	0.2675066424
351	0.2674998956
352	0.267492418
353	0.2674780616
354	0.2674641941
355	0.2674550573
356	0.267441499
357	0.2674341099
358	0.267427936
359	0.2674189432
360	0.2674039895
361	0.267383586
362	0.267365614
363	0.2673573646
364	0.2673459191
365	0.2673369582
366	0.2673154041
367	0.2673091557
368	0.2673025718
369	0.2672982337
370	0.2672919073
371	0.2672861372
372	0.2672777311
373	0.2672688612
374	0.2672620795
375	0.2672540728
376	0.2672453707
377	0.2672204276
378	0.267209865
379	0.2671939981
380	0.2671881114
381	0.2671753979
382	0.2671651586
383	0.2671583809
384	0.2671377963
385	0.2671357002
386	0.2671154361
387	0.2671042123
388	0.2670914898
389	0.2670838194
390	0.2670707587
391	0.267052429
392	0.2670462373
393	0.2670344361
394	0.2670238616
395	0.2670123769
396	0.2670056694
397	0.2669978666
398	0.2669828763
399	0.2669710794
400	0.26695608
401	0.2669477389
402	0.2669369189
403	0.2669262842
404	0.2669189445
405	0.2669136479
406	0.2669049827
407	0.2668946063
408	0.2668828514
409	0.2668675716
410	0.266865824
411	0.2668601993
412	0.2668555007
413	0.2668449864
414	0.2668359947
415	0.2668334299
416	0.2668205392
417	0.2668139717
418	0.2668050001
419	0.266795246
420	0.2667756407
421	0.266769016
422	0.2667576244
423	0.2667511301
424	0.2667410258
425	0.2667306638
426	0.2667217193
427	0.2667143025
428	0.2667080995
429	0.2667058506
430	0.2666997424
431	0.2666926223
432	0.2666855182
433	0.2666764956
434	0.2666646642
435	0.2666622924
436	0.2666550181
437	0.2666499427
438	0.2666390907
439	0.2666358724
440	0.2666269396
441	0.2666216296
442	0.2666132751
443	0.2666052586
444	0.2665967034
445	0.2665888014
446	0.2665820689
447	0.266575743
448	0.2665714235
449	0.2665663257
450	0.2665551263
451	0.2665435774
452	0.2665403778
453	0.2665299621
454	0.266516703
455	0.2665085932
456	0.2664999828
457	0.2664926894
458	0.2664902842
459	0.2664819621
460	0.2664734963
461	0.2664668671
462	0.2664597949
463	0.2664525023
464	0.2664459907
465	0.2664353714
466	0.2664278058
467	0.266418762
468	0.2664125672
469	0.2664092836
470	0.2664028772
471	0.2663979489
472	0.2663880178
473	0.2663820903
474	0.266377669
475	0.2663700649
476	0.2663629933
477	0.2663572432
478	0.2663541381
479	0.2663476648
480	0.2663392618
481	0.2663317431
482	0.2663201641
483	0.2663007266
484	0.266293205
485	0.2662800302
486	0.2662702488
487	0.2662637299
488	0.2662520108
489	0.2662438518
490	0.2662346596
491	0.2662279998
492	0.266222601
493	0.2662167999
494	0.2662080834
495	0.2662009093
496	0.2661875476
497	0.266184603
498	0.2661749538
499	0.2661637843
