iter	Passed	Remaining
0	556	685740
1	882	543164
2	1259	516490
3	1560	479417
4	1918	471268
5	2173	444502
6	2432	426067
7	2706	414413
8	2951	401340
9	3240	396271
10	3508	389730
11	3843	391090
12	4091	383957
13	4364	380062
14	4625	375624
15	4917	374065
16	5178	370423
17	5385	363487
18	5581	356614
19	5782	350691
20	5987	345589
21	6221	342477
22	6437	338658
23	6668	335938
24	6861	331554
25	7054	327498
26	7219	322451
27	7403	318624
28	7591	315179
29	7791	312438
30	7996	310040
31	8215	308354
32	8402	305556
33	8600	303278
34	8812	301655
35	9011	299636
36	9213	297812
37	9401	295650
38	9592	293664
39	9795	292144
40	9976	290060
41	10182	288752
42	10390	287550
43	10589	286162
44	10809	285378
45	11011	284143
46	11211	282902
47	11416	281849
48	11608	280504
49	11813	279517
50	11986	277804
51	12181	276667
52	12366	275338
53	12570	274456
54	12763	273381
55	12951	272206
56	13137	271042
57	13354	270543
58	13545	269537
59	13755	268921
60	13943	267893
61	14117	266633
62	14308	265738
63	14486	264605
64	14679	263770
65	14863	262820
66	15065	262178
67	15249	261263
68	15408	259934
69	15580	258866
70	15741	257629
71	15932	256914
72	16108	255975
73	16305	255375
74	16498	254736
75	16660	253633
76	16848	252939
77	17063	252675
78	17248	251957
79	17419	251051
80	17616	250539
81	17818	250114
82	18003	249448
83	18233	249402
84	18410	248650
85	18589	247937
86	18761	247137
87	18961	246716
88	19139	246019
89	19315	245306
90	19516	244918
91	19691	244222
92	19890	243820
93	20079	243307
94	20264	242742
95	20456	242282
96	20635	241673
97	20840	241371
98	20982	240340
99	21170	239864
100	21362	239430
101	21559	239053
102	21743	238548
103	21921	237970
104	22128	237726
105	22383	237978
106	22563	237441
107	22746	236939
108	22921	236363
109	23112	235957
110	23299	235518
111	23442	234637
112	23687	234774
113	23898	234579
114	24119	234486
115	24335	234334
116	24544	234114
117	24728	233667
118	24938	233459
119	25159	233350
120	25328	232771
121	25526	232455
122	25727	232178
123	25930	231909
