iter	Passed	Remaining
0	279	343791
1	524	322864
2	811	332867
3	1050	322714
4	1328	326165
5	1524	311723
6	1729	302838
7	1962	300571
8	2173	295651
9	2413	295123
10	2638	293146
11	2897	294848
12	3093	290274
13	3300	287413
14	3524	286220
15	3754	285567
16	3986	285117
17	4213	284416
18	4445	284018
19	4671	283355
20	4897	282654
21	5131	282444
22	5380	283044
23	5630	283626
24	5898	285036
25	6157	285843
26	6369	284494
27	6610	284484
28	6845	284215
29	7087	284198
30	7355	285188
31	7650	287145
32	7895	287104
33	8153	287547
34	8422	288297
35	8667	288184
36	8926	288538
37	9169	288351
38	9419	288391
39	9669	288393
40	9898	287780
41	10173	288490
42	10446	289090
43	10703	289236
44	10947	289024
45	11204	289113
46	11460	289194
47	11696	288749
48	11928	288240
49	12137	287171
50	12340	286020
51	12566	285413
52	12780	284558
53	13024	284359
54	13249	283773
55	13490	283548
56	13734	283373
57	14009	283803
58	14256	283684
59	14504	283555
60	14725	282919
61	14945	282283
62	15177	281874
63	15397	281238
64	15642	281081
65	15864	280514
66	16110	280377
67	16348	280085
68	16612	280248
69	16826	279558
70	17045	278968
71	17287	278763
72	17510	278245
73	17759	278158
74	17997	277883
75	18194	276984
76	18419	276528
77	18659	276303
78	18896	276034
79	19110	275431
80	19343	275110
81	19588	274962
82	19821	274634
83	20120	275223
84	20349	274838
85	20573	274393
86	20781	273748
87	21039	273755
88	21275	273470
89	21501	273070
90	21918	275065
91	22180	275085
92	22417	274791
93	22644	274380
94	22879	274077
95	23129	273943
96	23372	273723
97	23620	273569
98	23810	272734
99	24064	272656
100	24310	272471
101	24570	272443
102	24805	272142
103	25037	271796
104	25303	271834
105	25621	272408
106	25853	272069
107	26086	271729
108	26309	271298
109	26558	271135
110	26806	270959
111	27019	270439
112	27278	270372
113	27531	270243
114	27824	270505
115	28109	270676
116	28380	270706
117	28598	270236
118	28844	270025
119	29098	269893
120	29313	269390
121	29554	269143
122	29796	268894
123	30033	268604
124	30266	268284
125	30490	267880
126	30725	267573
127	30943	267132
128	31160	266677
129	31423	266619
130	31665	266372
131	31893	266021
132	32114	265605
133	32465	266267
